Meno;Priezvisko;Rodne_cislo;Miesto_narodenia;Stav_uctu;Stav
Katerina;Markova;545411/1295;Poprad;315043;vydaty
Martin;Urban;690602/2315;Presov;463102;slobodny
Simona;Hrinova;825716/5952;Zilina;175284;vydaty
Marek;Novak;931108/6041;Bratislava;341525;slobodny
Petra;Fabianova;515406/9442;Snina;817502;vydaty
Jan;Kucera;970329/4070;Kosice;198104;slobodny
Filip;Predajniansky;610119/7544;Bardejov;596480;slobodny
Barbora;Vargova;855606/5314;Levice;771202;vydaty
Ondrej;Muska;840313/4638;Trnava;704193;slobodny
Zuzana;Simekova;915717/9367;Komarno;992332;vydaty
Marek;Cerny;900125/6071;Martin;156780;slobodny
Lucia;Jurenova;945915/9817;Poprad;909222;vydaty
Peter;Horvath;860820/5830;Svidnik;467590;slobodny
Sandra;Novakova;695922/1599;Humenne;619487;vydaty
Richard;Dvorak;610206/3945;Trencin;131934;slobodny
Simona;Neradova;865831/7232;Tvrdosin;547688;vydaty
Tomas;Fabian;905416/6293;Presov;757851;slobodny
Radoslav;Vesely;975919/7922;Bratislava;995072;slobodny
Jana;Kubikova;965206/7792;Senec;254830;vydaty
Petra;Rusnakova;795520/5274;Nitra;364218;vydaty
Veronika;Kucerova;535208/8005;Levice;815162;vydaty
Ondrej;Urban;920423/9953;Svidnik;858214;slobodny
Juraj;Cerny;800222/6670;Martin;258179;slobodny
Ivana;Bednarova;995618/4067;Trencin;315048;vydaty
Sandra;Vargova;965804/1399;Humenne;148807;vydaty
Martin;Hrin;700904/7758;Kosice;931974;slobodny
Tomas;Marko;835213/8899;Trnava;651039;slobodny
Barbora;Neradova;885108/4183;Zvolen;168310;vydaty
Richard;Novak;970624/3607;Presov;666805;slobodny
Juraj;Dvorak;750715/1772;Bardejov;151343;slobodny
Zuzana;Predajnianska;645325/6974;Tvrdosin;763585;vydaty
Katerina;Muskova;855705/4826;Trencin;697509;vydaty
Jana;Markova;675226/9039;Bratislava;284197;vydaty
Filip;Fabian;935314/6550;Nitra;134691;slobodny
Martin;Horvath;665926/2441;Senec;482353;slobodny
Lucia;Urbanova;565859/9819;Poprad;875317;vydaty
Petra;Kubikova;645427/3110;Snina;940255;vydaty
Tomas;Rusnak;820116/3561;Svidnik;957609;slobodny
Barbora;Vesela;595822/2159;Komarno;102378;vydaty
Peter;Cerny;900212/8417;Tvrdosin;724921;slobodny
Ivana;Jurenova;655825/9762;Bardejov;415307;vydaty
Simona;Predajnianska;995607/3433;Zilina;889765;vydaty
Richard;Bednar;765708/2897;Kosice;793276;slobodny
Juraj;Fabian;825501/1322;Levice;334548;slobodny
Sandra;Novakova;925320/8086;Trnava;816111;vydaty
Katerina;Muskova;965221/9702;Bratislava;271458;vydaty
Martin;Marko;755915/8063;Presov;885252;slobodny
Barbora;Neradova;985427/4140;Martin;875021;vydaty
Ondrej;Kucera;750108/2088;Poprad;517000;slobodny
Petra;Dvorakova;795609/2217;Trencin;656195;vydaty
Jana;Hrinova;855913/2019;Komarno;121032;vydaty
Filip;Kubik;945917/6414;Kosice;109820;slobodny
Simona;Rusnakova;655915/2739;Senec;696750;vydaty
Lucia;Vesela;745823/2276;Nitra;793561;vydaty
Veronika;Cerna;965222/4284;Humenne;222435;vydaty
Peter;Urban;680626/2314;Bardejov;481638;slobodny
Tomas;Predajniansky;835921/3875;Zvolen;153355;slobodny
Ondrej;Muska;915825/7581;Zilina;877682;slobodny
Richard;Kubik;775204/3760;Levice;274317;slobodny
Juraj;Marko;925714/5973;Trencin;288480;slobodny
Barbora;Bednarova;945423/2673;Poprad;153125;vydaty
Petra;Fabianova;585608/1289;Martinka;169323;vydaty
Jana;Novakova;965505/9816;Snina;191253;vydaty
Simona;Vargova;795901/6925;Martin;656330;vydaty
Filip;Horvath;835310/2096;Presov;366175;slobodny
Lucia;Jurenova;995708/4108;Komarno;899905;vydaty
Martin;Rusnak;810227/3154;Tvrdosin;333072;slobodny
Katerina;Vesela;965213/8462;Trnava;339710;vydaty
Veronika;Cerna;905225/5448;Senec;773591;vydaty
Jan;Urban;980609/2701;Nitra;706298;slobodny
Ondrej;Fabian;975913/4647;Humenne;449431;slobodny
Juraj;Muska;825428/8592;Bardejov;475046;slobodny
Barbora;Predajnianska;995313/1602;Trencin;116215;vydaty
Sandra;Markova;985707/7128;Kosice;724289;vydaty
Peter;Bednar;995104/8130;Bratislava;895207;slobodny
Jan;Simek;900629/2412;Poprad;370476;slobodny
Jana;Kucerova;715314/1054;Zilina;737791;vydaty
Filip;Horvath;795801/8103;Snina;463965;slobodny
Martin;Fabian;725323/1649;Bardejov;957771;slobodny
Lucia;Novakova;705227/5687;Presov;886210;vydaty
Tomas;Varga;790319/3730;Levice;582514;slobodny
Petra;Cerna;695658/7731;Martin;527267;vydaty
Barbora;Jurenova;935923/8977;Humenne;856272;vydaty
Veronika;Kubikova;685926/1052;Tvrdosin;166979;vydaty
Juraj;Rusnak;915115/8472;Komarno;505737;slobodny
Richard;Vesely;985713/9970;Nitra;484064;slobodny
Katerina;Predajnianska;755728/3914;Senec;109310;vydaty
Martin;Muska;770516/4985;Trnava;564476;slobodny
Simona;Bednarova;735726/5327;Poprad;141525;vydaty
Ondrej;Marko;635606/2864;Bardejov;695816;slobodny
Petra;Fabianova;995416/4683;Kosice;453133;vydaty
Tomas;Novak;725625/4126;Bratislava;107708;slobodny
Lucia;Urbanova;665514/9129;Senec;187231;vydaty
Veronika;Muskova;575803/3222;Humenne;289529;vydaty
Jana;Kubikova;835320/7207;Zvolen;543739;vydaty
Peter;Rusnak;610105/6642;Presov;628515;slobodny
Filip;Vesely;675604/3009;Levice;945032;slobodny
Sandra;Cerny;995352/7982;Trencin;648876;vydaty
